WAV K N 
429.87 1e-10 2.55882057507 
436.52 1e-10 2.55749292278 
443.27 1e-10 2.55615762525 
450.12 1e-10 2.55480782775 
457.09 1e-10 2.55349067504 
464.16 1e-10 2.55213428695 
471.34 1e-10 2.55083032441 
478.63 1e-10 2.54950254725 
486.03 1e-10 2.54817344121 
493.55 1e-10 2.54682806876 
501.19 1e-10 2.54561119939 
508.94 1e-10 2.54489822418 
516.81 1e-10 2.54417602584 
524.81 1e-10 2.54345340466 
532.93 1e-10 2.54272687137 
541.17 1e-10 2.54199945253 
549.54 1e-10 2.54126169208 
558.04 1e-10 2.5405229964 
566.67 1e-10 2.53978697075 
575.44 1e-10 2.5390311579 
584.34 1e-10 2.53827306209 
593.38 1e-10 2.53750855546 
602.56 1e-10 2.53675708854 
611.88 1e-10 2.53606894945 
621.35 1e-10 2.53538688855 
630.96 1e-10 2.53471605513 
640.72 1e-10 2.53404767487 
650.63 1e-10 2.53338031575 
660.69 1e-10 2.53271964421 
670.91 1e-10 2.53206268044 
681.29 1e-10 2.53141127223 
691.83 1e-10 2.53076002571 
702.53 1e-10 2.5301107735 
713.4 1e-10 2.52946914275 
724.44 1e-10 2.52883017087 
735.64 1e-10 2.5281925183 
747.02 1e-10 2.52755826042 
758.58 1e-10 2.52692246694 
770.31 1e-10 2.52629045636 
782.23 1e-10 2.52565817074 
794.33 1e-10 2.52503004364 
